,episode,meaneplen,meanepreward,steps,#parallel_run
0,0,50.0,-50.0,300,0
1,1,50.0,-50.0,600,0
2,2,50.0,-46.833333333333336,900,0
3,3,50.0,-49.333333333333336,1200,0
4,4,50.0,-49.166666666666664,1500,0
5,5,50.0,-46.166666666666664,1800,0
6,6,50.0,-48.166666666666664,2100,0
7,7,50.0,-49.5,2400,0
8,8,50.0,-49.333333333333336,2700,0
9,9,50.0,-49.166666666666664,3000,0
10,10,50.0,-44.166666666666664,3300,0
11,11,50.0,-49.0,3600,0
12,12,50.0,-46.0,3900,0
13,13,50.0,-48.166666666666664,4200,0
14,14,50.0,-47.666666666666664,4500,0
15,15,50.0,-50.0,4800,0
16,16,50.0,-47.0,5100,0
17,17,50.0,-47.166666666666664,5400,0
18,18,50.0,-45.166666666666664,5700,0
19,19,50.0,-43.833333333333336,6000,0
20,20,50.0,-44.333333333333336,6300,0
21,21,50.0,-46.166666666666664,6600,0
22,22,50.0,-44.833333333333336,6900,0
23,23,50.0,-44.333333333333336,7200,0
24,24,50.0,-45.666666666666664,7500,0
25,25,50.0,-45.833333333333336,7800,0
26,26,50.0,-37.0,8100,0
27,27,50.0,-42.166666666666664,8400,0
28,28,50.0,-43.0,8700,0
29,29,50.0,-41.0,9000,0
30,30,50.0,-42.833333333333336,9300,0
31,31,50.0,-43.5,9600,0
32,32,50.0,-39.333333333333336,9900,0
33,33,50.0,-46.833333333333336,10200,0
34,34,50.0,-46.833333333333336,10500,0
35,35,50.0,-41.666666666666664,10800,0
36,36,50.0,-41.166666666666664,11100,0
37,37,50.0,-33.166666666666664,11400,0
38,38,50.0,-39.0,11700,0
39,39,50.0,-41.333333333333336,12000,0
40,40,50.0,-47.5,12300,0
41,41,50.0,-37.166666666666664,12600,0
42,42,50.0,-39.666666666666664,12900,0
43,43,50.0,-39.333333333333336,13200,0
44,44,50.0,-39.166666666666664,13500,0
45,45,50.0,-41.666666666666664,13800,0
46,46,50.0,-39.166666666666664,14100,0
47,47,50.0,-45.5,14400,0
48,48,50.0,-34.5,14700,0
49,49,50.0,-39.166666666666664,15000,0
50,50,50.0,-42.166666666666664,15300,0
51,51,50.0,-43.0,15600,0
52,52,50.0,-45.333333333333336,15900,0
53,53,50.0,-41.333333333333336,16200,0
54,54,50.0,-37.333333333333336,16500,0
55,55,50.0,-36.333333333333336,16800,0
56,56,50.0,-32.166666666666664,17100,0
57,57,50.0,-46.666666666666664,17400,0
58,58,50.0,-40.166666666666664,17700,0
59,59,50.0,-47.5,18000,0
60,60,50.0,-29.666666666666668,18300,0
61,61,50.0,-28.666666666666668,18600,0
62,62,50.0,-36.0,18900,0
63,63,50.0,-39.333333333333336,19200,0
64,64,50.0,-44.666666666666664,19500,0
65,65,50.0,-32.833333333333336,19800,0
66,66,50.0,-30.166666666666668,20100,0
67,67,50.0,-34.166666666666664,20400,0
68,68,50.0,-39.0,20700,0
69,69,50.0,-26.333333333333332,21000,0
70,70,50.0,-40.666666666666664,21300,0
71,71,50.0,-37.666666666666664,21600,0
72,72,50.0,-35.333333333333336,21900,0
73,73,50.0,-25.166666666666668,22200,0
74,74,50.0,-40.5,22500,0
75,75,50.0,-48.5,22800,0
76,76,50.0,-37.666666666666664,23100,0
77,77,50.0,-39.5,23400,0
78,78,50.0,-38.5,23700,0
79,79,50.0,-34.333333333333336,24000,0
80,80,50.0,-39.5,24300,0
81,81,50.0,-43.5,24600,0
82,82,50.0,-42.5,24900,0
83,83,50.0,-45.166666666666664,25200,0
84,84,50.0,-23.0,25500,0
85,85,50.0,-41.833333333333336,25800,0
86,86,50.0,-35.0,26100,0
87,87,50.0,-42.166666666666664,26400,0
88,88,50.0,-38.0,26700,0
89,89,50.0,-36.0,27000,0
90,90,50.0,-43.666666666666664,27300,0
91,91,50.0,-40.0,27600,0
92,92,50.0,-41.166666666666664,27900,0
93,93,50.0,-44.666666666666664,28200,0
94,94,50.0,-33.333333333333336,28500,0
95,95,50.0,-34.333333333333336,28800,0
96,96,50.0,-44.666666666666664,29100,0
97,97,50.0,-45.333333333333336,29400,0
98,98,50.0,-28.5,29700,0
99,99,50.0,-44.666666666666664,30000,0
